Sample_ID,SampleID,Generation,planting_group,Treatment,G2_treatment,Mother_plant,G1_treatment,G1_G2,growth_chamber,shelf,extr_group,sample_type,species,Project,Genotype,Compartment,soil_type,soil_batch,longitude,latitude,environment,Location,Group,Replicate
G2_26,G2_26,G2,1,Nutrient,Nutrient,N2,Nutrient,Nutrient_Nutrient,1,bottom,g2_0709,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_29,G2_29,G2,1,Control,Control,C10,Control,Control_Control,1,bottom,g2_0709,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_32,G2_32,G2,1,Control,Control,C2,Control,Control_Control,1,bottom,g2_0709,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_1,G2_1,G2,1,Drought,Drought,N11,Nutrient,Nutrient_Drought,1,top,g2_0714,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_3,G2_3,G2,1,Control,Control,D15,Drought,Drought_Control,1,top,g2_0714,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_4,G2_4,G2,1,Nutrient,Nutrient,N15,Nutrient,Nutrient_Nutrient,1,top,g2_0714,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_5,G2_5,G2,1,Nutrient,Nutrient,C10,Control,Control_Nutrient,1,top,g2_0714,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_6,G2_6,G2,1,Drought,Drought,D8,Drought,Drought_Drought,1,top,g2_0714,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_8,G2_8,G2,1,Drought,Drought,N8,Nutrient,Nutrient_Drought,1,top,g2_0714,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_9,G2_9,G2,1,Nutrient,Nutrient,C13,Control,Control_Nutrient,1,top,g2_0714,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_11,G2_11,G2,1,Nutrient,Nutrient,C6,Control,Control_Nutrient,1,top,g2_0714,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_12,G2_12,G2,1,Drought,Drought,D7,Drought,Drought_Drought,1,top,g2_0714,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_15,G2_15,G2,1,Drought,Drought,D15,Drought,Drought_Drought,1,top,g2_0714,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_PC_0114,G2_PC_0114,G2,,,,,,,,,g2_0114,positive,control_sample,multigen,,control,,,,,,Michigan,Michigan_,
G2_NC_0114,G2_NC_0114,G2,,,,,,,,,g2_0114,negative,control_sample,multigen,,control,,,,,,Michigan,Michigan_,
G2_124,G2_124,G2,2,Control,Control,N13,Nutrient,Nutrient_Control,1,bottom,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_94,G2_94,G2,2,Control,Control,C5,Control,Control_Control,1,top,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_110,G2_110,G2,2,Drought,Drought,C12,Control,Control_Drought,1,top,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_107,G2_107,G2,2,Drought,Drought,N2B,Nutrient,Nutrient_Drought,1,top,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_126,G2_126,G2,2,Drought,Drought,D2B,Drought,Drought_Drought,1,bottom,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_104,G2_104,G2,2,Control,Control,N2B,Nutrient,Nutrient_Control,1,top,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_123,G2_123,G2,2,Drought,Drought,D1B,Drought,Drought_Drought,1,bottom,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_139,G2_139,G2,2,Control,Control,D2B,Drought,Drought_Control,2,bottom,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_119,G2_119,G2,2,Nutrient,Nutrient,C4,Control,Control_Nutrient,1,bottom,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_98,G2_98,G2,2,Control,Control,D1B,Drought,Drought_Control,1,top,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_146,G2_146,G2,2,Control,Control,C12,Control,Control_Control,2,bottom,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_145,G2_145,G2,2,Drought,Drought,N13,Nutrient,Nutrient_Drought,2,bottom,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_99,G2_99,G2,2,Drought,Drought,N3B,Nutrient,Nutrient_Drought,1,top,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_115,G2_115,G2,2,Nutrient,Nutrient,D2B,Drought,Drought_Nutrient,1,bottom,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_129,G2_129,G2,2,Control,Control,C4,Control,Control_Control,1,bottom,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_149,G2_149,G2,2,Nutrient,Nutrient,D6,Drought,Drought_Nutrient,2,bottom,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_92,G2_92,G2,2,Drought,Drought,D6,Drought,Drought_Drought,1,top,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_136,G2_136,G2,2,Nutrient,Nutrient,D1B,Drought,Drought_Nutrient,2,bottom,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_141,G2_141,G2,2,Control,Control,N3B,Nutrient,Nutrient_Control,2,bottom,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_112,G2_112,G2,2,Control,Control,D6,Drought,Drought_Control,1,bottom,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_102,G2_102,G2,2,Drought,Drought,N5B,Nutrient,Nutrient_Drought,1,top,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_91,G2_91,G2,2,Nutrient,Nutrient,N13,Nutrient,Nutrient_Nutrient,1,top,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_137,G2_137,G2,2,Nutrient,Nutrient,N3B,Nutrient,Nutrient_Nutrient,2,bottom,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_148,G2_148,G2,2,Drought,Drought,C5,Control,Control_Drought,2,bottom,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_147,G2_147,G2,2,Drought,Drought,C4,Control,Control_Drought,2,bottom,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_PC_0720,G2_PC_0720,G2,,,,,,,,,g2_0720,positive,control_sample,multigen,,control,,,,,,Michigan,Michigan_,
G2_NC_0720,G2_NC_0720,G2,,,,,,,,,g2_0720,negative,control_sample,multigen,,control,,,,,,Michigan,Michigan_,
G2_57,G2_57,G2,1,Control,Control,N11,Nutrient,Nutrient_Control,2,top,g2_0720,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_61,G2_61,G2,1,Control,Control,D9,Drought,Drought_Control,2,top,g2_0720,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_62,G2_62,G2,1,Control,Control,D7,Drought,Drought_Control,2,top,g2_0720,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_66,G2_66,G2,1,Drought,Drought,N2,Nutrient,Nutrient_Drought,2,top,g2_0720,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_69,G2_69,G2,1,Nutrient,Nutrient,D9,Drought,Drought_Nutrient,2,bottom,g2_0720,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_70,G2_70,G2,1,Nutrient,Nutrient,D8,Drought,Drought_Nutrient,2,bottom,g2_0720,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_72,G2_72,G2,1,Control,Control,C6,Control,Control_Control,2,bottom,g2_0720,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_83,G2_83,G2,1,Nutrient,Nutrient,N10,Nutrient,Nutrient_Nutrient,2,bottom,g2_0720,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_85,G2_85,G2,1,Nutrient,Nutrient,N11,Nutrient,Nutrient_Nutrient,2,bottom,g2_0720,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_88,G2_88,G2,1,Control,Control,C13,Control,Control_Control,2,bottom,g2_0720,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_46,G2_46,G2,1,Drought,Drought,D9,Drought,Drought_Drought,2,top,g2_0720,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_47,G2_47,G2,1,Drought,Drought,N10,Nutrient,Nutrient_Drought,2,top,g2_0720,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_50,G2_50,G2,1,Control,Control,N8,Nutrient,Nutrient_Control,2,top,g2_0720,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_53,G2_53,G2,1,Control,Control,D8,Drought,Drought_Control,2,top,g2_0720,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_54,G2_54,G2,1,Drought,Drought,C2,Control,Control_Drought,2,top,g2_0720,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_PC_0804,G2_PC_0804,G2,,,,,,,,,g2_0804,positive,control_sample,multigen,,control,,,,,,Michigan,Michigan_,
G2_NC_0804,G2_NC_0804,G2,,,,,,,,,g2_0804,negative,control_sample,multigen,,control,,,,,,Michigan,Michigan_,
G2_73,G2_73,G2,1,Drought,Drought,C6,Control,Control_Drought,2,bottom,g2_0804,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_74,G2_74,G2,1,Nutrient,Nutrient,D15,Drought,Drought_Nutrient,2,bottom,g2_0804,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_75,G2_75,G2,1,Drought,Drought,N15,Nutrient,Nutrient_Drought,2,bottom,g2_0804,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_76,G2_76,G2,1,Drought,Drought,D14,Drought,Drought_Drought,2,bottom,g2_0804,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_77,G2_77,G2,1,Control,Control,D14,Drought,Drought_Control,2,bottom,g2_0804,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_80,G2_80,G2,1,Control,Control,N10,Nutrient,Nutrient_Control,2,bottom,g2_0804,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_81,G2_81,G2,1,Nutrient,Nutrient,D14,Drought,Drought_Nutrient,2,bottom,g2_0804,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_82,G2_82,G2,1,Drought,Drought,C13,Control,Control_Drought,2,bottom,g2_0804,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G1_N15,G1_N15,G1,,Nutrient,Nutrient,G0_bulk,,,2,bottom,g1_1,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
Extr_buffer,Extr_buffer,G2,,,,,,,,,,negative,control_sample,multigen,,control,,,,,,,,
Shade_NC2,Shade_NC2,,,,,,,,,,full_run,seqcenter_negative,control_sample,multigen,,control,,,,,,,,
Shade_NC3,Shade_NC3,,,,,,,,,,full_run,seqcenter_negative,control_sample,multigen,,control,,,,,,,,
Shade_NC4,Shade_NC4,,,,,,,,,,full_run,seqcenter_negative,control_sample,multigen,,control,,,,,,,,
Shade_NC5,Shade_NC5,,,,,,,,,,full_run,seqcenter_negative,control_sample,multigen,,control,,,,,,,,
Shade_NC6,Shade_NC6,,,,,,,,,,full_run,seqcenter_negative,control_sample,multigen,,control,,,,,,,,
Shade_NC7,Shade_NC7,,,,,,,,,,full_run,seqcenter_negative,control_sample,multigen,,control,,,,,,,,
Shade_NC8,Shade_NC8,,,,,,,,,,full_run,seqcenter_negative,control_sample,multigen,,control,,,,,,,,
Shade_NC9,Shade_NC9,,,,,,,,,,full_run,seqcenter_negative,control_sample,multigen,,control,,,,,,,,
Shade_NC10,Shade_NC10,,,,,,,,,,full_run,seqcenter_negative,control_sample,multigen,,control,,,,,,,,
Shade_NC11,Shade_NC11,,,,,,,,,,full_run,seqcenter_negative,control_sample,multigen,,control,,,,,,,,
Shade_NC12,Shade_NC12,,,,,,,,,,full_run,seqcenter_negative,control_sample,multigen,,control,,,,,,,,
Shade_NC1,Shade_NC1,,,,,,,,,,full_run,seqcenter_negative,control_sample,multigen,,control,,,,,,,,
F_201,F_201,,,shelter,,,,,,,F_1,sample,,rainout,B18504,seed,,,,,,UPREC,,UPREC2
F_204,F_204,,,open,,,,,,,F_1,sample,,rainout,Rosetta,seed,,,,,,UPREC,,UPREC2
F_2007,F_2007,,,shelter,,,,,,,F_1,sample,,rainout,R99,seed,,,,,,MSU,,MSU2
F_202,F_202,,,open,,,,,,,F_1,sample,,rainout,B18504,seed,,,,,,UPREC,,UPREC2
F_108,F_108,,,open,,,,,,,F_1,sample,,rainout,Cayenne,seed,,,,,,UPREC,,UPREC1
F_1001,F_1001,,,shelter,,,,,,,F_1,sample,,rainout,R99,seed,,,,,,MSU,,MSU1
F_405,F_405,,,shelter,,,,,,,F_1,sample,,rainout,Cayenne,seed,,,,,,UPREC,,UPREC4
F_401,F_401,,,shelter,,,,,,,F_1,sample,,rainout,Rosetta,seed,,,,,,UPREC,,UPREC4
Mock1Fina,Mock1Fina,,,,,,,,,,F_1,positive,,rainout,,control,,,,,,,,
NegCon1Fina,NegCon1Fina,,,,,,,,,,F_1,negative,,rainout,,control,,,,,,,,
F_406,F_406,,,open,,,,,,,F_2,sample,,rainout,Cayenne,seed,,,,,,UPREC,,UPREC4
F_4004,F_4004,,,open,,,,,,,F_2,sample,,rainout,Rosetta,seed,,,,,,MSU,,MSU4
F_106,F_106,,,open,,,,,,,F_2,sample,,rainout,R99,seed,,,,,,UPREC,,UPREC1
F_2003,F_2003,,,shelter,,,,,,,F_2,sample,,rainout,Cayenne,seed,,,,,,MSU,,MSU2
F_103,F_103,,,shelter,,,,,,,F_2,sample,,rainout,Rosetta,seed,,,,,,UPREC,,UPREC1
F_2008,F_2008,,,open,,,,,,,F_2,sample,,rainout,R99,seed,,,,,,MSU,,MSU2
F_3006,F_3006,,,open,,,,,,,F_2,sample,,rainout,Rosetta,seed,,,,,,MSU,,MSU3
F_307,F_307,,,shelter,,,,,,,F_2,sample,,rainout,Rosetta,seed,,,,,,UPREC,,UPREC3
Mock2Fina,Mock2Fina,,,,,,,,,,F_2,positive,,rainout,,control,,,,,,,,
NegCon2Fina,NegCon2Fina,,,,,,,,,,F_2,negative,,rainout,,control,,,,,,,,
F_107,F_107,,,shelter,,,,,,,F_3,sample,,rainout,Cayenne,seed,,,,,,UPREC,,UPREC1
F_302,F_302,,,open,,,,,,,F_3,sample,,rainout,B18504,seed,,,,,,UPREC,,UPREC3
F_2005,F_2005,,,shelter,,,,,,,F_3,sample,,rainout,B18504,seed,,,,,,MSU,,MSU2
F_105,F_105,,,shelter,,,,,,,F_3,sample,,rainout,R99,seed,,,,,,UPREC,,UPREC1
F_205,F_205,,,shelter,,,,,,,F_3,sample,,rainout,R99,seed,,,,,,UPREC,,UPREC2
F_1002,F_1002,,,open,,,,,,,F_3,sample,,rainout,R99,seed,,,,,,MSU,,MSU1
F_2004,F_2004,,,open,,,,,,,F_3,sample,,rainout,Cayenne,seed,,,,,,MSU,,MSU2
F_4005,F_4005,,,shelter,,,,,,,F_3,sample,,rainout,R99,seed,,,,,,MSU,,MSU4
Mock3Fina,Mock3Fina,,,,,,,,,,F_3,positive,,rainout,,control,,,,,,,,
NegCon3Fina,NegCon3Fina,,,,,,,,,,F_3,negative,,rainout,,control,,,,,,,,
F_101,F_101,,,shelter,,,,,,,F_4,sample,,rainout,B18504,seed,,,,,,UPREC,,UPREC1
F_3007,F_3007,,,shelter,,,,,,,F_4,sample,,rainout,Cayenne,seed,,,,,,MSU,,MSU3
F_207,F_207,,,shelter,,,,,,,F_4,sample,,rainout,Cayenne,seed,,,,,,UPREC,,UPREC2
F_305,F_305,,,shelter,,,,,,,F_4,sample,,rainout,R99,seed,,,,,,UPREC,,UPREC3
F_4003,F_4003,,,shelter,,,,,,,F_4,sample,,rainout,Rosetta,seed,,,,,,MSU,,MSU4
F_408,F_408,,,open,,,,,,,F_4,sample,,rainout,B18504,seed,,,,,,UPREC,,UPREC4
F_3008,F_3008,,,open,,,,,,,F_4,sample,,rainout,Cayenne,seed,,,,,,MSU,,MSU3
Mock4Fina,Mock4Fina,,,,,,,,,,F_4,positive,,rainout,,control,,,,,,,,
NegCon4Fina,NegCon4Fina,,,,,,,,,,F_4,negative,,rainout,,control,,,,,,,,
F_102,F_102,,,open,,,,,,,F_5,sample,,rainout,B18504,seed,,,,,,UPREC,,UPREC1
F_1008,F_1008,,,open,,,,,,,F_5,sample,,rainout,Rosetta,seed,,,,,,MSU,,MSU1
F_1006,F_1006,,,open,,,,,,,F_5,sample,,rainout,Cayenne,seed,,,,,,MSU,,MSU1
F_301,F_301,,,shelter,,,,,,,F_5,sample,,rainout,B18504,seed,,,,,,UPREC,,UPREC3
F_304,F_304,,,open,,,,,,,F_5,sample,,rainout,Cayenne,seed,,,,,,UPREC,,UPREC3
F_4006,F_4006,,,open,,,,,,,F_5,sample,,rainout,R99,seed,,,,,,MSU,,MSU4
F_1004,F_1004,,,open,,,,,,,F_5,sample,,rainout,B18504,seed,,,,,,MSU,,MSU1
Mock5Fina,Mock5Fina,,,,,,,,,,F_5,positive,,rainout,,control,,,,,,,,
NegCon5Fina,NegCon5Fina,,,,,,,,,,F_5,negative,,rainout,,control,,,,,,,,
F_407,F_407,,,shelter,,,,,,,F_6,sample,,rainout,B18504,seed,,,,,,UPREC,,UPREC4
F_3001,F_3001,,,shelter,,,,,,,F_6,sample,,rainout,B18504,seed,,,,,,MSU,,MSU3
F_404,F_404,,,open,,,,,,,F_6,sample,,rainout,R99,seed,,,,,,UPREC,,UPREC4
F_208,F_208,,,open,,,,,,,F_6,sample,,rainout,Cayenne,seed,,,,,,UPREC,,UPREC2
F_203,F_203,,,shelter,,,,,,,F_6,sample,,rainout,Rosetta,seed,,,,,,UPREC,,UPREC2
F_104,F_104,,,open,,,,,,,F_6,sample,,rainout,Rosetta,seed,,,,,,UPREC,,UPREC1
F_306,F_306,,,open,,,,,,,F_6,sample,,rainout,R99,seed,,,,,,UPREC,,UPREC3
Mock6Fina,Mock6Fina,,,,,,,,,,F_6,positive,,rainout,,control,,,,,,,,
NegCon6Fina,NegCon6Fina,,,,,,,,,,F_6,negative,,rainout,,control,,,,,,,,
F_3002,F_3002,,,open,,,,,,,F_7,sample,,rainout,B18504,seed,,,,,,MSU,,MSU3
F_3004,F_3004,,,open,,,,,,,F_7,sample,,rainout,R99,seed,,,,,,MSU,,MSU3
F_206,F_206,,,open,,,,,,,F_7,sample,,rainout,R99,seed,,,,,,UPREC,,UPREC2
F_1003,F_1003,,,shelter,,,,,,,F_7,sample,,rainout,B18504,seed,,,,,,MSU,,MSU1
F_2006,F_2006,,,open,,,,,,,F_7,sample,,rainout,B18504,seed,,,,,,MSU,,MSU2
F_4002,F_4002,,,open,,,,,,,F_7,sample,,rainout,Cayenne,seed,,,,,,MSU,,MSU4
F_403,F_403,,,shelter,,,,,,,F_7,sample,,rainout,R99,seed,,,,,,UPREC,,UPREC4
F_2001,F_2001,,,shelter,,,,,,,F_7,sample,,rainout,Rosetta,seed,,,,,,MSU,,MSU2
F_3005,F_3005,,,shelter,,,,,,,F_7,sample,,rainout,Rosetta,seed,,,,,,MSU,,MSU3
F_4008,F_4008,,,open,,,,,,,F_7,sample,,rainout,B18504,seed,,,,,,MSU,,MSU4
Mock7Fina,Mock7Fina,,,,,,,,,,F_7,positive,,rainout,,control,,,,,,,,
NegCon7Fina,NegCon7Fina,,,,,,,,,,F_7,negative,,rainout,,control,,,,,,,,
F_303,F_303,,,shelter,,,,,,,F_8,sample,,rainout,Cayenne,seed,,,,,,UPREC,,UPREC3
F_4007,F_4007,,,shelter,,,,,,,F_8,sample,,rainout,B18504,seed,,,,,,MSU,,MSU4
F_3003,F_3003,,,shelter,,,,,,,F_8,sample,,rainout,R99,seed,,,,,,MSU,,MSU3
F_1005,F_1005,,,shelter,,,,,,,F_8,sample,,rainout,Cayenne,seed,,,,,,MSU,,MSU1
F_2002,F_2002,,,open,,,,,,,F_8,sample,,rainout,Rosetta,seed,,,,,,MSU,,MSU2
F_4001,F_4001,,,shelter,,,,,,,F_8,sample,,rainout,Cayenne,seed,,,,,,MSU,,MSU4
F_1007,F_1007,,,shelter,,,,,,,F_8,sample,,rainout,Rosetta,seed,,,,,,MSU,,MSU1
F_308,F_308,,,open,,,,,,,F_8,sample,,rainout,Rosetta,seed,,,,,,UPREC,,UPREC3
Mock8Fina,Mock8Fina,,,,,,,,,,F_8,positive,,rainout,,control,,,,,,,,
NegCon8Fina,NegCon8Fina,,,,,,,,,,F_8,negative,,rainout,,control,,,,,,,,
NC_1Fina,NC_1Fina,,,,,,,,,,full_run,seqcenter_negative,,rainout,,control,,,,,,,,
NC_2Fina,NC_2Fina,,,,,,,,,,full_run,seqcenter_negative,,rainout,,control,,,,,,,,
NC_3Fina,NC_3Fina,,,,,,,,,,full_run,seqcenter_negative,,rainout,,control,,,,,,,,
NC_4Fina,NC_4Fina,,,,,,,,,,full_run,seqcenter_negative,,rainout,,control,,,,,,,,
NC_5Fina,NC_5Fina,,,,,,,,,,full_run,seqcenter_negative,,rainout,,control,,,,,,,,