name,SampleID,Generation,planting_group,Treatment,G2_treatment,Mother_plant,G1_treatment,G1_G2,growth_chamber,shelf,extr_group,sample_type,species,Project,host_genotype,Compartment,soil_type,longitude,latitude,environment,Location,Group,Replicate,is.neg,line,plate
G0_1,G0_1,G0,NA,,,,,,NA,,g0_1,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,,Plate1
G0_10,G0_10,G0,NA,,,,,,NA,,g0_1,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,,Plate1
G0_11,G0_11,G0,NA,,,,,,NA,,g0_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,,Plate1
G0_12,G0_12,G0,NA,,,,,,NA,,g0_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,,Plate1
G0_13,G0_13,G0,NA,,,,,,NA,,g0_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,,Plate1
G0_14,G0_14,G0,NA,,,,,,NA,,g0_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,,Plate1
G0_15,G0_15,G0,NA,,,,,,NA,,g0_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,,Plate1
G0_16,G0_16,G0,NA,,,,,,NA,,g0_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,,Plate1
G0_17,G0_17,G0,NA,,,,,,NA,,g0_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,,Plate1
G0_18,G0_18,G0,NA,,,,,,NA,,g0_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,,Plate1
G0_19,G0_19,G0,NA,,,,,,NA,,g0_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,,Plate1
G0_2,G0_2,G0,NA,,,,,,NA,,g0_1,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,,Plate1
G0_20,G0_20,G0,NA,,,,,,NA,,g0_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,,Plate1
G0_3,G0_3,G0,NA,,,,,,NA,,g0_1,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,,Plate1
G0_4,G0_4,G0,NA,,,,,,NA,,g0_1,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,,Plate1
G0_5,G0_5,G0,NA,,,,,,NA,,g0_1,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,,Plate1
G0_6,G0_6,G0,NA,,,,,,NA,,g0_1,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,,Plate1
G0_7,G0_7,G0,NA,,,,,,NA,,g0_1,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,,Plate1
G0_8,G0_8,G0,NA,,,,,,NA,,g0_1,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,,Plate1
G0_9,G0_9,G0,NA,,,,,,NA,,g0_1,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,,Plate1
G1_C10,G1_C10,G1,NA,Control,,G0_bulk,Control,,2,bottom,g1_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C10,Plate1
G1_C11,G1_C11,G1,NA,Control,,G0_bulk,Control,,1,bottom,g1_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C11,Plate1
G1_C12,G1_C12,G1,NA,Control,,G0_bulk,Control,,2,bottom,g1_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C12,Plate1
G1_C13,G1_C13,G1,NA,Control,,G0_bulk,Control,,2,bottom,g1_1,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C13,Plate1
G1_C15,G1_C15,G1,NA,Control,,G0_bulk,Control,,2,bottom,g1_3,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C15,Plate1
G1_C1B,G1_C1B,G1,NA,Control,,G0_bulk,Control,,1,bottom,g1_3,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C1B,Plate1
G1_C2,G1_C2,G1,NA,Control,,G0_bulk,Control,,1,bottom,g1_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C2,Plate1
G1_C2B,G1_C2B,G1,NA,Control,,G0_bulk,Control,,1,bottom,g1_3,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C2B,Plate1
G1_C4,G1_C4,G1,NA,Control,,G0_bulk,Control,,2,bottom,g1_3,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C4,Plate1
G1_C5,G1_C5,G1,NA,Control,,G0_bulk,Control,,1,bottom,g1_3,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C5,Plate1
G1_C6,G1_C6,G1,NA,Control,,G0_bulk,Control,,1,bottom,g1_1,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C6,Plate1
G1_C8,G1_C8,G1,NA,Control,,G0_bulk,Control,,1,bottom,g1_3,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C8,Plate1
G1_D10,G1_D10,G1,NA,Drought,,G0_bulk,Drought,,1,bottom,g1_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D10,Plate1
G1_D11,G1_D11,G1,NA,Drought,,G0_bulk,Drought,,2,bottom,g1_3,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D11,Plate1
G1_D13,G1_D13,G1,NA,Drought,,G0_bulk,Drought,,1,bottom,g1_3,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D13,Plate1
G1_D14,G1_D14,G1,NA,Drought,,G0_bulk,Drought,,2,bottom,g1_1,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D14,Plate1
G1_D15,G1_D15,G1,NA,Drought,,G0_bulk,Drought,,2,bottom,g1_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D15,Plate1
G1_D1B,G1_D1B,G1,NA,Drought,,G0_bulk,Drought,,1,bottom,g1_1,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D1B,Plate1
G1_D2B,G1_D2B,G1,NA,Drought,,G0_bulk,Drought,,1,bottom,g1_1,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D2B,Plate1
G1_D5,G1_D5,G1,NA,Drought,,G0_bulk,Drought,,1,bottom,g1_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D5,Plate1
G1_D6,G1_D6,G1,NA,Drought,,G0_bulk,Drought,,2,bottom,g1_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D6,Plate1
G1_D7,G1_D7,G1,NA,Drought,,G0_bulk,Drought,,1,bottom,g1_1,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D7,Plate1
G1_D8,G1_D8,G1,NA,Drought,,G0_bulk,Drought,,2,bottom,g1_1,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D8,Plate1
G1_D9,G1_D9,G1,NA,Drought,,G0_bulk,Drought,,1,bottom,g1_1,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D9,Plate1
G1_N10,G1_N10,G1,NA,Nutrient,,G0_bulk,Nutrient,,2,bottom,g1_3,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N10,Plate1
G1_N11,G1_N11,G1,NA,Nutrient,,G0_bulk,Nutrient,,1,bottom,g1_3,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N11,Plate1
G1_N13,G1_N13,G1,NA,Nutrient,,G0_bulk,Nutrient,,2,bottom,g1_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N13,Plate1
G1_N15,G1_N15,G1,NA,Nutrient,,G0_bulk,Nutrient,,2,bottom,g1_1,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N15,Plate2
G1_N1B,G1_N1B,G1,NA,Nutrient,,G0_bulk,Nutrient,,1,bottom,g1_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N1B,Plate1
G1_N2,G1_N2,G1,NA,Nutrient,,G0_bulk,Nutrient,,1,bottom,g1_3,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N2,Plate1
G1_N2B,G1_N2B,G1,NA,Nutrient,,G0_bulk,Nutrient,,1,bottom,g1_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N2B,Plate1
G1_N3,G1_N3,G1,NA,Nutrient,,G0_bulk,Nutrient,,1,bottom,g1_3,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N3,Plate1
G1_N3B,G1_N3B,G1,NA,Nutrient,,G0_bulk,Nutrient,,1,bottom,g1_3,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N3B,Plate1
G1_N5,G1_N5,G1,NA,Nutrient,,G0_bulk,Nutrient,,2,bottom,g1_1,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N5,Plate1
G1_N5B,G1_N5B,G1,NA,Nutrient,,G0_bulk,Nutrient,,1,bottom,g1_3,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N5B,Plate1
G1_N8,G1_N8,G1,NA,Nutrient,,G0_bulk,Nutrient,,2,bottom,g1_2,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N8,Plate1
G2_1,G2_1,G2,1,Drought,Drought,N11,Nutrient,Nutrient_Drought,1,top,g2_0714,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N11,Plate2
G2_102,G2_102,G2,2,Drought,Drought,N5B,Nutrient,Nutrient_Drought,1,top,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N5B,Plate2
G2_104,G2_104,G2,2,Control,Control,N2B,Nutrient,Nutrient_Control,1,top,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N2B,Plate2
G2_107,G2_107,G2,2,Drought,Drought,N2B,Nutrient,Nutrient_Drought,1,top,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N2B,Plate2
G2_109,G2_109,G2,2,Nutrient,Nutrient,C12,Control,Control_Nutrient,1,top,g2_0121,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C12,Plate2
G2_11,G2_11,G2,1,Nutrient,Nutrient,C6,Control,Control_Nutrient,1,top,g2_0714,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C6,Plate2
G2_110,G2_110,G2,2,Drought,Drought,C12,Control,Control_Drought,1,top,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C12,Plate2
G2_112,G2_112,G2,2,Control,Control,D6,Drought,Drought_Control,1,bottom,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D6,Plate2
G2_115,G2_115,G2,2,Nutrient,Nutrient,D2B,Drought,Drought_Nutrient,1,bottom,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D2B,Plate2
G2_119,G2_119,G2,2,Nutrient,Nutrient,C4,Control,Control_Nutrient,1,bottom,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C4,Plate2
G2_12,G2_12,G2,1,Drought,Drought,D7,Drought,Drought_Drought,1,top,g2_0714,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D7,Plate2
G2_122,G2_122,G2,2,Nutrient,Nutrient,N5B,Nutrient,Nutrient_Nutrient,1,bottom,g2_0121,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N5B,Plate2
G2_123,G2_123,G2,2,Drought,Drought,D1B,Drought,Drought_Drought,1,bottom,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D1B,Plate2
G2_124,G2_124,G2,2,Control,Control,N13,Nutrient,Nutrient_Control,1,bottom,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N13,Plate2
G2_126,G2_126,G2,2,Drought,Drought,D2B,Drought,Drought_Drought,1,bottom,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D2B,Plate2
G2_128,G2_128,G2,2,Nutrient,Nutrient,N2B,Nutrient,Nutrient_Nutrient,1,bottom,g2_0121,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N2B,Plate2
G2_129,G2_129,G2,2,Control,Control,C4,Control,Control_Control,1,bottom,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C4,Plate2
G2_131,G2_131,G2,2,Nutrient,Nutrient,C5,Control,Control_Nutrient,1,bottom,g2_0121,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C5,Plate2
G2_136,G2_136,G2,2,Nutrient,Nutrient,D1B,Drought,Drought_Nutrient,2,bottom,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D1B,Plate2
G2_137,G2_137,G2,2,Nutrient,Nutrient,N3B,Nutrient,Nutrient_Nutrient,2,bottom,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N3B,Plate2
G2_139,G2_139,G2,2,Control,Control,D2B,Drought,Drought_Control,2,bottom,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D2B,Plate2
G2_141,G2_141,G2,2,Control,Control,N3B,Nutrient,Nutrient_Control,2,bottom,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N3B,Plate2
G2_145,G2_145,G2,2,Drought,Drought,N13,Nutrient,Nutrient_Drought,2,bottom,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N13,Plate2
G2_146,G2_146,G2,2,Control,Control,C12,Control,Control_Control,2,bottom,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C12,Plate2
G2_147,G2_147,G2,2,Drought,Drought,C4,Control,Control_Drought,2,bottom,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C4,Plate2
G2_148,G2_148,G2,2,Drought,Drought,C5,Control,Control_Drought,2,bottom,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C5,Plate2
G2_149,G2_149,G2,2,Nutrient,Nutrient,D6,Drought,Drought_Nutrient,2,bottom,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D6,Plate2
G2_15,G2_15,G2,1,Drought,Drought,D15,Drought,Drought_Drought,1,top,g2_0714,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D15,Plate2
G2_151,G2_151,G2,3,Control,Control,C15,Control,Control_Control,1,top,g2_0121,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C15,Plate1
