name,SampleID,Generation,planting_group,Treatment,G2_treatment,Mother_plant,G1_treatment,G1_G2,growth_chamber,shelf,extr_group,sample_type,species,Project,host_genotype,Compartment,soil_type,longitude,latitude,environment,Location,Group,Replicate,is.neg,line,plate
G2_152,G2_152,G2,3,Drought,Drought,D5,Drought,Drought_Drought,1,top,g2_0121,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D5,Plate2
G2_153,G2_153,G2,3,Nutrient,Nutrient,C15,Control,Control_Nutrient,1,top,g2_0121,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C15,Plate1
G2_156,G2_156,G2,3,Drought,Drought,N1B,Nutrient,Nutrient_Drought,1,top,g2_0121,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N1B,Plate2
G2_157,G2_157,G2,3,Drought,Drought,C8,Control,Control_Drought,1,top,g2_0121,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C8,Plate2
G2_158,G2_158,G2,3,Nutrient,Nutrient,C1B,Control,Control_Nutrient,1,top,g2_0125,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C1B,Plate1
G2_159,G2_159,G2,3,Drought,Drought,D10,Drought,Drought_Drought,1,top,g2_0121,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D10,Plate1
G2_160,G2_160,G2,3,Control,Control,C2B,Control,Control_Control,1,top,g2_0121,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C2B,Plate2
G2_161,G2_161,G2,3,Nutrient,Nutrient,C2B,Control,Control_Nutrient,1,top,g2_0125,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C2B,Plate1
G2_162,G2_162,G2,3,Drought,Drought,N3,Nutrient,Nutrient_Drought,1,top,g2_0121,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N3,Plate2
G2_167,G2_167,G2,3,Nutrient,Nutrient,D5,Drought,Drought_Nutrient,1,top,g2_0125,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D5,Plate1
G2_168,G2_168,G2,3,Drought,Drought,D13,Drought,Drought_Drought,1,top,g2_0121,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D13,Plate2
G2_169,G2_169,G2,3,Nutrient,Nutrient,N3,Nutrient,Nutrient_Nutrient,1,top,g2_0121,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N3,Plate2
G2_172,G2_172,G2,3,Drought,Drought,D11,Drought,Drought_Drought,1,top,g2_0125,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D11,Plate1
G2_175,G2_175,G2,3,Drought,Drought,C15,Control,Control_Drought,1,bottom,g2_0121,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C15,Plate1
G2_176,G2_176,G2,3,Control,Control,D11,Drought,Drought_Control,1,bottom,g2_0125,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D11,Plate1
G2_177,G2_177,G2,3,Nutrient,Nutrient,C8,Control,Control_Nutrient,1,bottom,g2_0125,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C8,Plate1
G2_178,G2_178,G2,3,Drought,Drought,C2B,Control,Control_Drought,1,bottom,g2_0125,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C2B,Plate1
G2_179,G2_179,G2,3,Control,Control,C1B,Control,Control_Control,1,bottom,g2_0121,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C1B,Plate1
G2_180,G2_180,G2,3,Control,Control,N1B,Nutrient,Nutrient_Control,1,bottom,g2_0125,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N1B,Plate1
G2_188,G2_188,G2,3,Control,Control,D10,Drought,Drought_Control,1,bottom,g2_0125,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D10,Plate1
G2_191,G2_191,G2,3,Control,Control,N5,Nutrient,Nutrient_Control,1,bottom,g2_0125,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N5,Plate1
G2_192,G2_192,G2,3,Control,Control,D13,Drought,Drought_Control,1,bottom,g2_0125,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D13,Plate1
G2_193,G2_193,G2,3,Nutrient,Nutrient,N1B,Nutrient,Nutrient_Nutrient,1,bottom,g2_0125,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N1B,Plate1
G2_199,G2_199,G2,3,Nutrient,Nutrient,D10,Drought,Drought_Nutrient,2,bottom,g2_0125,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D10,Plate1
G2_200,G2_200,G2,3,Drought,Drought,N5,Nutrient,Nutrient_Drought,2,bottom,g2_0125,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N5,Plate1
G2_202,G2_202,G2,3,Nutrient,Nutrient,N5,Nutrient,Nutrient_Nutrient,2,bottom,g2_0125,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N5,Plate1
G2_204,G2_204,G2,3,Control,Control,N3,Nutrient,Nutrient_Control,2,bottom,g2_0125,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N3,Plate1
G2_205,G2_205,G2,3,Drought,Drought,C1B,Control,Control_Drought,2,bottom,g2_0121,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C1B,Plate1
G2_212,G2_212,G2,3,Control,Control,D5,Drought,Drought_Control,2,bottom,g2_0125,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D5,Plate1
G2_213,G2_213,G2,3,Nutrient,Nutrient,D13,Drought,Drought_Nutrient,2,bottom,g2_0125,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D13,Plate1
G2_214,G2_214,G2,3,Nutrient,Nutrient,D11,Drought,Drought_Nutrient,2,bottom,g2_0125,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D11,Plate1
G2_216,G2_216,G2,3,Control,Control,C8,Control,Control_Control,2,bottom,g2_0125,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C8,Plate1
G2_22,G2_22,G2,1,Control,Control,N15,Nutrient,Nutrient_Control,1,top,g2_0709,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N15,Plate2
G2_23,G2_23,G2,1,Nutrient,Nutrient,D7,Drought,Drought_Nutrient,1,bottom,g2_0709,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D7,Plate2
G2_24,G2_24,G2,1,Drought,Drought,C11,Control,Control_Drought,1,bottom,g2_0709,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C11,Plate2
G2_26,G2_26,G2,1,Nutrient,Nutrient,N2,Nutrient,Nutrient_Nutrient,1,bottom,g2_0709,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N2,Plate2
G2_29,G2_29,G2,1,Control,Control,C10,Control,Control_Control,1,bottom,g2_0709,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C10,Plate2
G2_3,G2_3,G2,1,Control,Control,D15,Drought,Drought_Control,1,top,g2_0714,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D15,Plate2
G2_32,G2_32,G2,1,Control,Control,C2,Control,Control_Control,1,bottom,g2_0709,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C2,Plate2
G2_33,G2_33,G2,1,Drought,Drought,C2,Control,Control_Drought,1,bottom,g2_0709,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C2,Plate2
G2_35,G2_35,G2,1,Control,Control,N2,Nutrient,Nutrient_Control,1,bottom,g2_0709,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N2,Plate2
G2_38,G2_38,G2,1,Nutrient,Nutrient,C11,Control,Control_Nutrient,1,bottom,g2_0709,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C11,Plate2
G2_4,G2_4,G2,1,Nutrient,Nutrient,N15,Nutrient,Nutrient_Nutrient,1,top,g2_0714,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N15,Plate2
G2_40,G2_40,G2,1,Nutrient,Nutrient,N8,Nutrient,Nutrient_Nutrient,1,bottom,g2_0709,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N8,Plate2
G2_42,G2_42,G2,1,Drought,Drought,C10,Control,Control_Drought,1,bottom,g2_0709,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C10,Plate2
G2_45,G2_45,G2,1,Control,Control,C11,Control,Control_Control,1,bottom,g2_0709,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C11,Plate2
G2_46,G2_46,G2,1,Drought,Drought,D9,Drought,Drought_Drought,2,top,g2_0720,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D9,Plate2
G2_47,G2_47,G2,1,Drought,Drought,N10,Nutrient,Nutrient_Drought,2,top,g2_0720,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N10,Plate2
G2_5,G2_5,G2,1,Nutrient,Nutrient,C10,Control,Control_Nutrient,1,top,g2_0714,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C10,Plate2
G2_50,G2_50,G2,1,Control,Control,N8,Nutrient,Nutrient_Control,2,top,g2_0720,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N8,Plate2
G2_53,G2_53,G2,1,Control,Control,D8,Drought,Drought_Control,2,top,g2_0720,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D8,Plate2
G2_54,G2_54,G2,1,Drought,Drought,C2,Control,Control_Drought,2,top,g2_0720,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C2,Plate2
G2_57,G2_57,G2,1,Control,Control,N11,Nutrient,Nutrient_Control,2,top,g2_0720,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N11,Plate2
G2_6,G2_6,G2,1,Drought,Drought,D8,Drought,Drought_Drought,1,top,g2_0714,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D8,Plate2
G2_61,G2_61,G2,1,Control,Control,D9,Drought,Drought_Control,2,top,g2_0720,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D9,Plate2
G2_62,G2_62,G2,1,Control,Control,D7,Drought,Drought_Control,2,top,g2_0720,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D7,Plate2
G2_66,G2_66,G2,1,Drought,Drought,N2,Nutrient,Nutrient_Drought,2,top,g2_0720,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N2,Plate2
G2_69,G2_69,G2,1,Nutrient,Nutrient,D9,Drought,Drought_Nutrient,2,bottom,g2_0720,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D9,Plate2
G2_70,G2_70,G2,1,Nutrient,Nutrient,D8,Drought,Drought_Nutrient,2,bottom,g2_0720,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D8,Plate2
G2_72,G2_72,G2,1,Control,Control,C6,Control,Control_Control,2,bottom,g2_0720,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C6,Plate2
G2_73,G2_73,G2,1,Drought,Drought,C6,Control,Control_Drought,2,bottom,g2_0804,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C6,Plate2
G2_74,G2_74,G2,1,Nutrient,Nutrient,D15,Drought,Drought_Nutrient,2,bottom,g2_0804,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D15,Plate2
G2_75,G2_75,G2,1,Drought,Drought,N15,Nutrient,Nutrient_Drought,2,bottom,g2_0804,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N15,Plate2
G2_76,G2_76,G2,1,Drought,Drought,D14,Drought,Drought_Drought,2,bottom,g2_0804,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D14,Plate2
G2_77,G2_77,G2,1,Control,Control,D14,Drought,Drought_Control,2,bottom,g2_0804,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D14,Plate2
G2_8,G2_8,G2,1,Drought,Drought,N8,Nutrient,Nutrient_Drought,1,top,g2_0714,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N8,Plate2
G2_80,G2_80,G2,1,Control,Control,N10,Nutrient,Nutrient_Control,2,bottom,g2_0804,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N10,Plate2
G2_81,G2_81,G2,1,Nutrient,Nutrient,D14,Drought,Drought_Nutrient,2,bottom,g2_0804,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D14,Plate2
G2_82,G2_82,G2,1,Drought,Drought,C13,Control,Control_Drought,2,bottom,g2_0804,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C13,Plate2
G2_83,G2_83,G2,1,Nutrient,Nutrient,N10,Nutrient,Nutrient_Nutrient,2,bottom,g2_0720,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N10,Plate2
G2_85,G2_85,G2,1,Nutrient,Nutrient,N11,Nutrient,Nutrient_Nutrient,2,bottom,g2_0720,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N11,Plate2
G2_88,G2_88,G2,1,Control,Control,C13,Control,Control_Control,2,bottom,g2_0720,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C13,Plate2
G2_9,G2_9,G2,1,Nutrient,Nutrient,C13,Control,Control_Nutrient,1,top,g2_0714,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C13,Plate2
G2_91,G2_91,G2,2,Nutrient,Nutrient,N13,Nutrient,Nutrient_Nutrient,1,top,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N13,Plate2
G2_92,G2_92,G2,2,Drought,Drought,D6,Drought,Drought_Drought,1,top,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D6,Plate2
G2_93,G2_93,G2,2,Control,Control,N5B,Nutrient,Nutrient_Control,1,top,g2_0121,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N5B,Plate2
G2_94,G2_94,G2,2,Control,Control,C5,Control,Control_Control,1,top,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,C5,Plate2
G2_98,G2_98,G2,2,Control,Control,D1B,Drought,Drought_Control,1,top,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,D1B,Plate2
G2_99,G2_99,G2,2,Drought,Drought,N3B,Nutrient,Nutrient_Drought,1,top,g2_0114,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,NA,NA,growth_chamber,Michigan,Michigan_Red_Hawk,,FALSE,N3B,Plate2